EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.  Chemical sanitizing solution containers placed on floor.,605,681
107181,3/16/2021 4:00:00 AM,1586395,FOOD SERVICE,LA MORENA,8659,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,90,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (eggs held at room temperature),605,682
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,"The approved sanitizing solution for manual/mechanical ware-washing is not at the proper concentration- the concentration of bleach water above 200ppm.   Equipment, food-contact surfaces, utensils not cleaned at proper intervals- white tubs not cleaned properly",605,683
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.,605,684
78566,6/28/2021 4:00:00 AM,1606156,FOOD SERVICE,LOU LOU FOOD & DRINK,106,SEARS AVE,LOUISVILLE,KY,40207,REGULAR,87,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Chemical bottle not properly labeled. ,605,685
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food not clearly marked to indicate the date or day by which the food shall be consumed, sold or discarded.  Items in cooler not properly date marked- cheese in opened bag  Items in walk-in cooler were past 7 days of opening- hotdogs, watermelon.   Items in walkin cooler not properly date marked- eggs (opened bag), potatos, and hamburger patties.",605,686
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,44,"In-use utensils, properly stored",No,In-use food dispensing utensils not properly stored.,605,687
57286,2/24/2021 5:00:00 AM,1583251,FOOD SERVICE,BURGER KING #546,5611,NEW CUT RD,LOUISVILLE,KY,40214,REGULAR,93,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,sewage backup in mens room,605,688
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,689
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area. (personal items on prep area)",605,690
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above.,605,691
107181,3/16/2021 4:00:00 AM,1586395,FOOD SERVICE,LA MORENA,8659,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,90,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items not labeled.,605,692
101147,6/25/2021 4:00:00 AM,1605844,FOOD SERVICE,RED BRICK PIZZA,5000,SHELBYVILLE RD STE 1640,LOUISVILLE,KY,40207,REGULAR,89,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below (Chicken held at 45 degrees, Cheese held at 47 degrees). ",605,693
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,46,"Single use/single service articles:  properly stored, used",No,Re-use of single service items (Grocery bags cannot be used for storing food). ,605,694
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,45,"Utensil, equipment and linens:  properly stored, dried, handled",No,Improper storage of clean utensils- claen dishes were still wet when stacked.,605,695
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,23,PROPER COOLING TIME AND TEMPERATURE,Yes,Proper cooling method not used for TCS food.,605,696
103461,8/17/2021 4:00:00 AM,1616781,FOOD SERVICE,CARIBBEAN CAFE,317,W WOODLAWN AVE,LOUISVILLE,KY,40214,REGULAR,92,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  Beef at 55 degrees fahrenheit  Pork at 53 degrees fahrenheit  Fish at 58 degrees fahrenheit  Lettuce at 55 degrees fahrenheit  Tomatoes at 55 degrees fahrenheit  All items voluntarily discarded,605,697
101147,6/25/2021 4:00:00 AM,1605844,FOOD SERVICE,RED BRICK PIZZA,5000,SHELBYVILLE RD STE 1640,LOUISVILLE,KY,40207,REGULAR,89,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above (Pizza held at 99 degrees). ,605,698
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,49,"Ware washing facilities:  installed, maintained, used, test strips",No,Ware washing machine not properly operating.,605,699
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,51,Hot and cold water available; adequate pressure; plumbing maintained,No,Plumbing not maintained in good repair- leak in faucet,605,700
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Improper use of chemicals.  Improper storage of chemicals.,605,701
101147,6/25/2021 4:00:00 AM,1605844,FOOD SERVICE,RED BRICK PIZZA,5000,SHELBYVILLE RD STE 1640,LOUISVILLE,KY,40207,REGULAR,89,52,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,Yes,Mop sink vacuum breaker malfunctioning. ,605,702
105930,4/2/2021 4:00:00 AM,1589243,FOOD SERVICE,TACO CITY LOUISVILLE,1283,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,90,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (flan),605,703
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,50,Nonfood-contact surfaces clean,No,"Nonfood-contact surfaces have accumulation of soil (Shelving, microwaves). ",605,704
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,"Unwholesome spoiled fruits, vegetables or other foods- spoiled lettuce  Canned food products observed that indicate swelling, leaking, rusting or severe dents - 2 dented cans",605,705
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,36,Approved thawing methods used,No,Improper thawing method being used for TCS food.,605,706
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,The approved sanitizing solution for manual/mechanical ware-washing is not at the proper concentration.,605,707
37954,9/17/2021 4:00:00 AM,1624784,SELF-CONTAINED MOBILE FOOD UNITS,KENTUCKIANA SPECIALTY #4,,MOBILE TRAILER 0451,LOUISVILLE,KY,40202,REGULAR,95,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Bare hand contact with ready to eat food. -- Corrected,605,708
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,52,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,Yes,Vacumn break at mop sink in disrepair (leaking). ,605,709
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,37,Thermometers provided and accurate,No,Lack of accurate thermometers in all refrigeration/freezer units storing TCS food.  Thermometers not place in the warmest spot of the cold holding unit.,605,710
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,15,Food separated and protected,No,Raw animal foods not separated by type based on minimum cook temperatures- raw chicken stored above beef,605,711
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (milk),605,712
106862,5/28/2021 4:00:00 AM,1599861,FOOD SERVICE,TOWNEPLACE SUITES,6601,PARAMOUNT PARK DR,LOUISVILLE,KY,40213,REGULAR,97,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,Expired over-the-counter medicine (removed from the retail shelves). ,605,713
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,56,"Physical facilities installed, maintained and clean",No,Floors not clean.  Hood vents not clean. ,605,714
105930,4/2/2021 4:00:00 AM,1589243,FOOD SERVICE,TACO CITY LOUISVILLE,1283,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,90,23,PROPER COOLING TIME AND TEMPERATURE,Yes,Proper cooling method not used for TCS food.,605,715
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,40,Personal cleanliness; hair restraints,No,No hair/beard restraints where required.,605,716
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,56,"Physical facilities installed, maintained and clean",No,Floors not clean- under stove  Walls and ceiling not clean- vents need to be cleaned  Employee clothing/possessions not stored properly- employee drinks,605,717
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Poisonous and toxic materials not labeled.  Unlabeled working containers for storing poisonous or toxic materials.  ,605,718
98867,8/6/2021 4:00:00 AM,1614582,FOOD SERVICE (HOSPITAL / NURSING HOME,SIGNATURE HEALTHCARE AT SUMMERFIELD,1877,FARNSLEY RD,LOUISVILLE,KY,40216,REGULAR,82,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,Hot water not available in hand washing sink at the beginning of the inspection   ,605,719
67343,1/27/2022 5:00:00 AM,1648889,FOOD SERVICE,AUGUST MOON,2269,LEXINGTON RD,LOUISVILLE,KY,40206,REGULAR,73,48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",No,"Food/nonfood-contact surface is not smooth and easily cleanable (do not line surfaces with towels foil, or linens). ",605,720
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,1,"PERSON IN CHARGE  PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",Yes,There is no person-in-charge on site,605,721
84451,6/1/2021 4:00:00 AM,1600280,FOOD SERVICE,SPORTS BAR INN GRILLE,6551,PARAMOUNT PARK DR,LOUISVILLE,KY,40213,REGULAR,94,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  - Walk-in cooler at 50 degrees F.   - Reach-in drawers on the prep line at 47 degrees F.  ,605,722
88168,8/13/2021 4:00:00 AM,1616130,FOOD SERVICE,COALS ARTISAN PIZZA,3724,FRANKFORT AVE,LOUISVILLE,KY,40207,REGULAR,87,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area (monster drink and personal food (corn) sitting on prep table, personal drinks stored above clean dishes). ",605,723
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,39,"Contamination prevented during food preparation, storage and display",No,"Food not protected during storage.  Food stored where exposed to splash, dust, or other contamination.  Food not stored in a clean, dry location.",605,724
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,37,Thermometers provided and accurate,No,Thermometer not easily readable.  Thermometer sensor not located in the warmest part of the refrigerator or coolest part of hot storage unit. (by door),605,725
96112,11/5/2021 4:00:00 AM,1634589,FOOD SERVICE,WAYSIDE CHRISTIAN MISSION,432,E JEFFERSON ST,LOUISVILLE,KY,40202,REGULAR,92,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,"Food and/or ice adulterated or contaminated. (Dry food in pantry storage. Evidence of pests)    Corrected Immediately, discarded",605,726
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,2,Certified food protection manager,No,No certified food manager present.,605,727
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,728
84451,6/1/2021 4:00:00 AM,1600280,FOOD SERVICE,SPORTS BAR INN GRILLE,6551,PARAMOUNT PARK DR,LOUISVILLE,KY,40213,REGULAR,94,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Cleaning chemical solutions stored next to cleaned cutting boards.,605,729
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,38,Food properly labeled; original container,No,Bulk food not stored in the product container or package in which it was obtained and without identifying label.  Food removed from original container and not easily identified not labeled.,605,730
96112,11/5/2021 4:00:00 AM,1634589,FOOD SERVICE,WAYSIDE CHRISTIAN MISSION,432,E JEFFERSON ST,LOUISVILLE,KY,40202,REGULAR,92,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of rodents. (Evidence of pests observed in dry food storage pantry) Correct within 7 days. See order,605,731
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Multiple personal drinks stored on food prep areas,605,732
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,44,"In-use utensils, properly stored",No,In-use food dispensing utensils not properly stored.,605,733
96541,2/8/2021 5:00:00 AM,1581683,FOOD SERVICE,LITTLE CAESARS,5751,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,92,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area.  Personal drinks.",605,734
88168,8/13/2021 4:00:00 AM,1616130,FOOD SERVICE,COALS ARTISAN PIZZA,3724,FRANKFORT AVE,LOUISVILLE,KY,40207,REGULAR,87,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized (ice machine). ,605,735
107592,11/12/2021 5:00:00 AM,1635842,FOOD SERVICE,WENDYS,1630,KENTUCKY MILLS DR,LOUISVILLE,KY,40299,REGULAR,95,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below.  Guacamole, blue cheese, cut leafy greens, and sliced tomatoes stored at 50-55 degrees F in cooler on sandwich make line. Items quarantined and voluntarily discarded.",605,736
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,47,GLOVES USED PROPERLY,Yes,Hands not washed when changing gloves.  Gloves not used properly.,605,737
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,10,Adequate hand washing facilities supplied and accessible,No,Individual disposable towels and/or hand drying device not provided at lavatory or hand sink.,605,738
89828,7/28/2021 4:00:00 AM,1612809,SELF-CONTAINED MOBILE FOOD UNITS,GET IT ON A BUN AT BOOTY'S DINER,,MOBILE UNIT 6085,LOUISVILLE,KY,40202,REGULAR,96,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below (Pasta, Coleslaw, tomatoes all holding between 52-55 degrees). ",605,739
100533,11/30/2021 5:00:00 AM,1639075,FOOD SERVICE,EL NOPAL,962,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,70,51,Hot and cold water available; adequate pressure; plumbing maintained,No,Plumbing not maintained in good repair.,605,740
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below- milk and whipping cream,605,741
88168,8/13/2021 4:00:00 AM,1616130,FOOD SERVICE,COALS ARTISAN PIZZA,3724,FRANKFORT AVE,LOUISVILLE,KY,40207,REGULAR,87,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below (tomatoes, chicken, cheese all holding between 47-55 degrees).",605,742
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,40,Personal cleanliness; hair restraints,No,No hair/beard restraints where required.,605,743
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,17,Food stored covered,No,Food stored uncovered- sprinkles ,605,744
64938,3/1/2021 5:00:00 AM,1583909,FOOD SERVICE,STORYPOINT LOUISVILLE SOUTH,620,VALLEY COLLEGE DR,LOUISVILLE,KY,40272,REGULAR,95,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,hot water dishwashng machine not reaching target rinse temperature,605,745
105110,8/11/2021 4:00:00 AM,1615754,FOOD SERVICE,80 20 AT KAELINS,1801,NEWBURG RD,LOUISVILLE,KY,40205,REGULAR,85,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area (3 personal drinks in food prep area). ",605,746
107586,3/3/2022 5:00:00 AM,1655780,FOOD SERVICE,WENDYS,3301,CANE RUN RD,LOUISVILLE,KY,40211,REGULAR,86,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  - Top compartment of the prep line cooler holding at 57-61 degrees F (Observed no item in the bottom compartment- holding at 50 degrees F)- Immediately placed all TCS products in ice bath. Must utilize ice bath for TCS products until the unit can maintain 41 degrees F or below during the time of operation.   - Chocolate Frosty holding at 51 degrees F (Discarded),605,747
105110,8/11/2021 4:00:00 AM,1615754,FOOD SERVICE,80 20 AT KAELINS,1801,NEWBURG RD,LOUISVILLE,KY,40205,REGULAR,85,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below (Chicken, tomatoes, cooked brussel sprouts all holding between 60-65 degrees-discarded). ",605,748
103441,2/25/2021 5:00:00 AM,1583566,FOOD SERVICE,HISSHO SUSHI AT MEIJER #162,9905,DIXIE HWY,LOUISVILLE,KY,40272,REGULAR,93,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,open mayonaisse product not refridgerated per label requirements,605,749
99415,8/6/2021 4:00:00 AM,1614584,FOOD SERVICE,DUNKIN,4611,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,77,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic substances stored improperly- cleaning sprays on food contact surfaces,605,750
107586,3/3/2022 5:00:00 AM,1655780,FOOD SERVICE,WENDYS,3301,CANE RUN RD,LOUISVILLE,KY,40211,REGULAR,86,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above.  - Chicken nuggets holding at 121 degrees F (Discarded).,605,751
103441,2/25/2021 5:00:00 AM,1583566,FOOD SERVICE,HISSHO SUSHI AT MEIJER #162,9905,DIXIE HWY,LOUISVILLE,KY,40272,REGULAR,93,30,"COMPLIANCE WITH VARIANCE, SPECIALIZED PROCESS & HACCP PLAN",Yes,rice ph testing log not being maintained/performed for several months,605,752
107586,3/3/2022 5:00:00 AM,1655780,FOOD SERVICE,WENDYS,3301,CANE RUN RD,LOUISVILLE,KY,40211,REGULAR,86,25,PROPER DATE MARKING AND DISPOSITION,Yes,"TCS foods prepared on site, and intended to be held more than 24 hours not date marked (walk-in cooler).  ",605,753
105110,8/11/2021 4:00:00 AM,1615754,FOOD SERVICE,80 20 AT KAELINS,1801,NEWBURG RD,LOUISVILLE,KY,40205,REGULAR,85,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food not clearly marked to indicate the date or day by which the food shall be consumed, sold or discarded (sauces, tomatoes, etc). ",605,754
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,755
107586,3/3/2022 5:00:00 AM,1655780,FOOD SERVICE,WENDYS,3301,CANE RUN RD,LOUISVILLE,KY,40211,REGULAR,86,24,TIME AS A PUBLIC HEALTH CONTROL:  PROCEDURES AND RECORDS,Yes,Not following written procedures for using time as a public health control (Cheese slices on the prep line) - Corrected.,605,756
89389,6/9/2021 4:00:00 AM,1602364,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,82,10,Adequate hand washing facilities supplied and accessible,No,Individual disposable towels and/or hand drying device not provided at lavatory or hand sink.,605,757
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,43,Posted:  Permit/Inspection/Hand washing,No,Lack of handwash sign or poster to notify employees to wash hands.  Handwash sign is not clear and visible to employees.  Current Permit not posted.  ,605,758
89389,6/9/2021 4:00:00 AM,1602364,FOOD SERVICE,TROLL PUB UNDER THE BRIDGE,150,W WASHINGTON ST,LOUISVILLE,KY,40202,REGULAR,82,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,Expired Grade A dairy (Expired 6/7-discarded). ,605,759
33158,8/31/2021 4:00:00 AM,1619568,FOOD SERVICE,FISH HOUSE,1310,WINTER AVE,LOUISVILLE,KY,40204,REGULAR,77,44,"In-use utensils, properly stored",No,Dispensing food with a bowl or other container without a handle.,605,760
96979,3/17/2021 4:00:00 AM,1586682,FOOD SERVICE,CHINA CASTLE,7420,OLD 3RD STREET RD,LOUISVILLE,KY,40214,REGULAR,93,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food not clearly marked to indicate the date or day by which the food shall be consumed, sold or discarded.",605,761
96979,3/17/2021 4:00:00 AM,1586682,FOOD SERVICE,CHINA CASTLE,7420,OLD 3RD STREET RD,LOUISVILLE,KY,40214,REGULAR,93,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,open excavation in kitchen from sewer line repair,605,762
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,2,Certified food protection manager,No,No certified food manager present.,605,763
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not washed to prevent contamination from previous task. ,605,764
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,10,Adequate hand washing facilities supplied and accessible,No,Individual disposable towels not provided at hand sink.  Hand cleaner not provided at hand washing sink.  ,605,765
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,Contaminated dry food products by pest infestation.,605,766
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,21,PROPER COLD HOLDING TEMPERATURES,Yes,Raw ground beef holding at 69 degrees F and ham holding at 78 degrees F.,605,767
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,40,Personal cleanliness; hair restraints,No,No hair/beard restraints where required.,605,768
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,769
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Expired TCS products in the walk-in cooler (Pimento Cheese, prepackaged sandwiches, prepackaged cheese and parfait).",605,770
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of live and dead roaches in dry storage area. ,605,771
43435,7/21/2021 4:00:00 AM,1611026,FOOD SERVICE,VOA MIDSTATES,1321,S PRESTON ST,LOUISVILLE,KY,40208,REGULAR,82,48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",No,Build up of ice in the walk-in freezer.,605,772
